src_ip,dst_ip,src_port,dst_port,protocol,flag,packet_count,byte_count,duration_ms,packets_per_sec,avg_packet_size,label
192.168.8.232,10.0.1.238,7485,3389,ICMP,RST,943,118172,26331,35.8133,125.315,BruteForce
192.168.7.108,10.0.4.85,20624,22,TCP,ACK,1476,136136,23721,62.2233,92.2331,BruteForce
192.168.2.199,10.0.2.238,59305,22,TCP,FIN,32,10595,3493,9.1612,331.0938,Benign
192.168.8.251,10.0.0.86,62470,8080,UDP,SYN,20,32384,4129,4.8438,1619.2,Benign
192.168.7.151,10.0.1.104,29211,443,TCP,SYN-ACK,44,11306,2853,15.4224,256.9545,Benign
192.168.3.154,10.0.2.152,25721,80,TCP,SYN,10394,171218,3458,3005.7837,16.4728,DoS
192.168.9.110,10.0.3.230,7073,312,ICMP,SYN,152,1034,2430,62.5514,6.8026,PortScan
192.168.3.9,10.0.1.75,65491,732,UDP,SYN,782,2433,665,1175.9398,3.1113,PortScan
192.168.3.229,10.0.2.85,7575,80,TCP,RST,7,40762,101,69.3069,5823.1429,Benign
192.168.4.203,10.0.1.230,26639,21,UDP,SYN,1415,86396,22166,63.8365,61.0572,BruteForce
192.168.9.19,10.0.4.73,10108,53,TCP,FIN,21,10814,4317,4.8645,514.9524,Benign
192.168.2.128,10.0.4.58,46180,806,UDP,SYN,972,6548,1166,833.6192,6.7366,PortScan
192.168.8.208,10.0.3.92,63394,602,ICMP,SYN,769,7571,2212,347.6492,9.8453,PortScan
192.168.4.204,10.0.2.171,22428,22,TCP,ACK,14,46587,1371,10.2115,3327.6429,Benign
192.168.1.21,10.0.0.151,58377,80,TCP,ACK,67,6132,126,531.746,91.5224,SQLInjection
192.168.2.73,10.0.2.177,21992,443,TCP,SYN,33530,3538327,3008,11146.9415,105.5272,DoS
192.168.9.187,10.0.4.78,62459,443,TCP,SYN,48003,383838,6967,6890.0531,7.9961,DoS
192.168.3.101,10.0.1.89,5353,443,TCP,SYN,30530,1664999,9152,3335.8829,54.5365,DoS
192.168.8.169,10.0.3.201,47498,22,UDP,FIN,1870,95697,26421,70.777,51.1749,BruteForce
192.168.7.169,10.0.2.246,61021,80,TCP,SYN,5487,1477234,5105,1074.8286,269.2243,DoS
192.168.7.24,10.0.3.225,22949,443,TCP,SYN,20,34105,4157,4.8112,1705.25,Benign
192.168.5.233,10.0.1.185,12854,80,UDP,SYN,45,24140,2909,15.4692,536.4444,Benign
192.168.10.96,10.0.2.1,7878,443,UDP,RST,18,10186,2823,6.3762,565.8889,Benign
192.168.9.71,10.0.4.101,59323,53,ICMP,RST,44,13388,3663,12.012,304.2727,Benign
192.168.1.117,10.0.5.152,36880,22,UDP,RST,7,19144,2824,2.4788,2734.8571,Benign
192.168.1.105,10.0.4.161,64271,22,TCP,FIN,34,40395,4784,7.107,1188.0882,Benign
192.168.4.237,10.0.2.214,39748,443,TCP,SYN,24679,424726,4759,5185.7533,17.21,DoS
192.168.10.66,10.0.3.68,1304,80,ICMP,ACK,19,29942,2057,9.2368,1575.8947,Benign
192.168.7.1,10.0.3.13,63849,53,TCP,SYN-ACK,39,27812,233,167.382,713.1282,Benign
192.168.9.223,10.0.5.204,51275,53,ICMP,SYN-ACK,47,3855,4168,11.2764,82.0213,Benign
192.168.10.55,10.0.4.170,37223,22,UDP,SYN,996,156998,25780,38.6346,157.6285,BruteForce
192.168.6.46,10.0.4.168,14148,22,TCP,PSH-ACK,10,22046,2111,4.7371,2204.6,Benign
192.168.8.6,10.0.0.34,62043,21,ICMP,PSH-ACK,546,182348,11578,47.1584,333.9707,BruteForce
192.168.5.107,10.0.1.232,28971,22,TCP,PSH-ACK,940,35586,27070,34.7248,37.8574,BruteForce
192.168.5.80,10.0.4.178,36982,80,TCP,SYN,15195,1118719,1054,14416.5085,73.6242,DoS
192.168.4.17,10.0.2.248,12753,443,TCP,SYN,12958,4298188,9758,1327.9361,331.7015,DoS
192.168.8.131,10.0.0.124,44801,80,ICMP,SYN-ACK,27,6531,2993,9.021,241.8889,Benign
192.168.3.100,10.0.1.140,62951,80,TCP,SYN,45654,824978,2039,22390.3874,18.0702,DoS
192.168.3.38,10.0.2.42,35239,22,ICMP,RST,1180,175562,13514,87.3169,148.7814,BruteForce
192.168.1.88,10.0.3.203,50618,8080,TCP,SYN,61,8958,135,451.8519,146.8525,SQLInjection
192.168.4.159,10.0.5.124,51713,25,ICMP,PSH-ACK,9,49301,1957,4.5989,5477.8889,Benign
192.168.8.143,10.0.3.100,22140,22,ICMP,SYN-ACK,285,19536,16840,16.924,68.5474,BruteForce
192.168.4.1,10.0.4.91,2146,694,ICMP,SYN,525,1121,1790,293.2961,2.1352,PortScan
192.168.8.22,10.0.1.216,7313,53,ICMP,RST,12,39355,1212,9.901,3279.5833,Benign
192.168.8.127,10.0.4.142,48596,53,UDP,SYN,7,42317,2697,2.5955,6045.2857,Benign
192.168.4.80,10.0.4.211,28918,80,UDP,SYN,8,20174,1221,6.552,2521.75,Benign
192.168.5.209,10.0.3.40,19417,80,UDP,FIN,38,24341,715,53.1469,640.5526,Benign
192.168.8.79,10.0.5.77,27688,8080,TCP,SYN,25,12609,862,29.0023,504.36,Benign
192.168.3.239,10.0.4.155,40315,80,TCP,SYN-ACK,22,10657,443,49.6614,484.4091,SQLInjection
192.168.6.82,10.0.0.47,38799,80,TCP,RST,19,3716,2365,8.0338,195.5789,Benign
192.168.5.216,10.0.4.194,36499,609,TCP,SYN,665,5874,911,729.9671,8.8331,PortScan
192.168.7.193,10.0.0.80,61240,443,TCP,SYN,22632,536656,3242,6980.876,23.7123,DoS
192.168.2.25,10.0.4.2,8025,22,UDP,SYN,28,27106,4539,6.1688,968.0714,Benign
192.168.2.68,10.0.1.152,62605,80,ICMP,ACK,26,11534,1616,16.0891,443.6154,Benign
192.168.10.180,10.0.0.162,54255,443,TCP,FIN,50,8800,1487,33.6247,176.0,Benign
192.168.9.62,10.0.3.2,45680,53,ICMP,SYN-ACK,17,32786,4585,3.7077,1928.5882,Benign
192.168.4.16,10.0.3.55,41214,80,TCP,SYN,39588,2555398,6640,5962.0482,64.5498,DoS
192.168.3.104,10.0.4.106,60710,8080,ICMP,SYN-ACK,20,40895,1121,17.8412,2044.75,Benign
192.168.7.66,10.0.5.155,33639,22,TCP,SYN,42,13028,2172,19.337,310.1905,Benign
192.168.3.148,10.0.1.209,43020,25,ICMP,SYN,20,9180,429,46.62,459.0,Benign
192.168.4.64,10.0.5.12,48947,22,TCP,PSH-ACK,13,14795,2365,5.4968,1138.0769,Benign
192.168.2.148,10.0.0.167,14799,25,ICMP,SYN,5,27589,976,5.123,5517.8,Benign
192.168.6.53,10.0.3.37,10656,80,TCP,SYN,29166,2827233,7735,3770.6529,96.9359,DoS
192.168.7.169,10.0.4.175,19050,22,UDP,PSH-ACK,1956,176474,6781,288.453,90.2219,BruteForce
192.168.4.100,10.0.2.49,58037,80,TCP,SYN,37106,4201303,5487,6762.5296,113.2244,DoS
192.168.7.13,10.0.2.1,29420,80,UDP,ACK,8,49542,3858,2.0736,6192.75,Benign
192.168.9.75,10.0.1.106,8260,8080,UDP,ACK,22,12103,3591,6.1264,550.1364,Benign
192.168.1.122,10.0.4.17,39459,621,UDP,SYN,759,4675,2340,324.359,6.1594,PortScan
192.168.4.177,10.0.2.215,32273,443,UDP,SYN-ACK,35,14954,3689,9.4877,427.2571,Benign
192.168.3.5,10.0.1.166,32868,297,UDP,SYN,212,5385,2018,105.0545,25.4009,PortScan
192.168.9.66,10.0.5.26,18837,636,ICMP,SYN,864,7614,583,1481.9897,8.8125,PortScan
192.168.2.146,10.0.0.62,59926,80,TCP,SYN-ACK,95,19364,143,664.3357,203.8316,SQLInjection
192.168.8.251,10.0.4.1,10795,8080,TCP,SYN-ACK,80,15753,340,235.2941,196.9125,SQLInjection
192.168.6.1,10.0.3.50,13303,8080,TCP,PSH-ACK,32,16960,2327,13.7516,530.0,Benign
192.168.10.52,10.0.5.103,44922,443,TCP,SYN,11297,3287012,8730,1294.0435,290.9633,DoS
192.168.10.51,10.0.1.84,4025,22,UDP,SYN-ACK,20,35397,2831,7.0646,1769.85,Benign
192.168.8.59,10.0.3.246,37883,80,TCP,PSH-ACK,11,37538,1222,9.0016,3412.5455,Benign
192.168.4.106,10.0.0.53,31634,5038,UDP,RST,46,94254,45950,1.0011,2049.0,Backdoor
192.168.8.184,10.0.1.57,49391,760,TCP,SYN,199,1599,1550,128.3871,8.0352,PortScan
192.168.1.236,10.0.4.105,8906,53,UDP,PSH-ACK,33,14202,865,38.1503,430.3636,Benign
192.168.6.237,10.0.1.157,8808,80,TCP,SYN,7894,4093081,5539,1425.167,518.5053,DoS
192.168.9.43,10.0.5.194,46628,443,TCP,SYN,37,15494,219,168.9498,418.7568,SQLInjection
192.168.2.23,10.0.4.150,16053,80,ICMP,SYN-ACK,32,46137,2958,10.8181,1441.7812,Benign
192.168.6.193,10.0.3.143,46633,25,TCP,SYN,11,41604,4783,2.2998,3782.1818,Benign
192.168.1.171,10.0.2.50,12300,3389,TCP,ACK,292,57026,8417,34.6917,195.2945,BruteForce
192.168.4.51,10.0.1.76,31226,21,TCP,PSH-ACK,662,172174,6407,103.3245,260.0816,BruteForce
192.168.1.31,10.0.5.234,48476,614,TCP,SYN,954,8074,1130,844.2478,8.4633,PortScan
192.168.2.214,10.0.1.122,25802,21,TCP,ACK,271,149730,7737,35.0265,552.5092,BruteForce
192.168.7.28,10.0.0.196,11348,315,TCP,SYN,525,2776,2280,230.2632,5.2876,PortScan
192.168.4.180,10.0.1.69,47796,676,ICMP,SYN,563,3578,2934,191.8882,6.3552,PortScan
192.168.9.170,10.0.4.56,63520,80,TCP,SYN,45039,3833566,5574,8080.1938,85.1166,DoS
192.168.6.67,10.0.4.55,61724,80,TCP,SYN,31595,2579120,7152,4417.6454,81.6306,DoS
192.168.9.120,10.0.0.224,39126,443,TCP,PSH-ACK,8,15556,4470,1.7897,1944.5,Benign
192.168.2.144,10.0.3.102,60618,25,ICMP,RST,13,3962,4343,2.9933,304.7692,Benign
192.168.3.138,10.0.1.205,9309,53,TCP,SYN,43,36129,707,60.8204,840.2093,Benign
192.168.4.138,10.0.4.22,23248,80,ICMP,RST,21,17614,2820,7.4468,838.7619,Benign
192.168.9.35,10.0.1.12,29055,443,UDP,ACK,19,46294,832,22.8365,2436.5263,Benign
192.168.9.38,10.0.4.114,5705,8080,TCP,PSH-ACK,79,4626,427,185.0117,58.557,SQLInjection
192.168.6.118,10.0.1.175,19132,80,UDP,SYN,5,2290,298,16.7785,458.0,Benign
192.168.1.22,10.0.2.43,50671,53,ICMP,PSH-ACK,10,5915,1659,6.0277,591.5,Benign
192.168.8.244,10.0.0.113,52381,8080,ICMP,PSH-ACK,8,41843,311,25.7235,5230.375,Benign
192.168.3.254,10.0.2.81,25865,53,ICMP,SYN,46,19496,2493,18.4517,423.8261,Benign
192.168.5.41,10.0.0.140,54289,3389,TCP,RST,1380,151561,17623,78.3068,109.8268,BruteForce
192.168.5.126,10.0.4.234,51354,443,TCP,ACK,23,33360,447,51.4541,1450.4348,Benign
192.168.6.98,10.0.3.11,34260,22,UDP,FIN,290,167079,3600,80.5556,576.1345,BruteForce
192.168.1.170,10.0.2.227,17120,3389,UDP,SYN-ACK,899,33249,13844,64.9379,36.9844,BruteForce
192.168.9.71,10.0.4.39,27578,80,TCP,RST,40,15532,126,317.4603,388.3,SQLInjection
192.168.5.131,10.0.1.254,22103,80,UDP,PSH-ACK,28,20824,1494,18.7416,743.7143,Benign
192.168.10.97,10.0.5.11,37235,25,ICMP,SYN,35,3975,3431,10.2011,113.5714,Benign
192.168.4.62,10.0.3.155,57124,943,ICMP,SYN,732,6817,569,1286.4675,9.3128,PortScan
192.168.10.200,10.0.5.244,62535,443,ICMP,ACK,9,4478,2293,3.925,497.5556,Benign
192.168.1.238,10.0.0.222,26692,80,UDP,RST,40,35187,140,285.7143,879.675,Benign
192.168.5.161,10.0.5.67,64079,53,ICMP,ACK,35,33166,2139,16.3628,947.6,Benign
192.168.9.50,10.0.3.184,51083,3389,TCP,RST,331,114781,10775,30.7193,346.7704,BruteForce
192.168.4.40,10.0.5.17,10297,3389,ICMP,FIN,1588,87372,25789,61.5766,55.0202,BruteForce
192.168.3.134,10.0.4.166,44900,21,ICMP,PSH-ACK,1034,88010,7196,143.6909,85.1161,BruteForce
192.168.1.63,10.0.3.194,48012,25,TCP,SYN-ACK,38,28738,1852,20.5184,756.2632,Benign
192.168.2.80,10.0.2.22,31299,8080,TCP,FIN,45,26051,1383,32.538,578.9111,Benign
192.168.6.243,10.0.2.194,20069,22,TCP,ACK,19,47759,3123,6.0839,2513.6316,Benign
192.168.6.140,10.0.5.48,20280,48,TCP,SYN,784,2386,2424,323.4323,3.0434,PortScan
192.168.7.79,10.0.3.203,19360,53,UDP,RST,38,33609,284,133.8028,884.4474,Benign
192.168.4.188,10.0.0.95,16847,53,ICMP,PSH-ACK,38,12195,2356,16.129,320.9211,Benign
192.168.6.186,10.0.1.120,41007,25,ICMP,SYN,49,22777,407,120.3931,464.8367,Benign
192.168.5.176,10.0.5.15,56923,420,UDP,SYN,321,4423,1954,164.2784,13.7788,PortScan
192.168.4.213,10.0.4.66,39501,80,UDP,PSH-ACK,30,48239,1917,15.6495,1607.9667,Benign
192.168.3.207,10.0.0.24,7222,443,TCP,SYN,39485,4012866,3027,13044.2683,101.6301,DoS
192.168.9.13,10.0.4.250,14040,80,TCP,RST,45,44984,1721,26.1476,999.6444,Benign
192.168.8.56,10.0.1.104,43231,22,UDP,ACK,1032,19111,25703,40.151,18.5184,BruteForce
192.168.2.245,10.0.0.236,50178,22,ICMP,RST,25,26015,880,28.4091,1040.6,Benign
192.168.8.246,10.0.4.220,27710,3389,ICMP,PSH-ACK,217,12797,8056,26.9364,58.9724,BruteForce
192.168.4.211,10.0.0.208,2950,8080,ICMP,SYN,31,7840,4603,6.7347,252.9032,Benign
192.168.3.215,10.0.4.135,61600,8080,TCP,ACK,58,12939,291,199.3127,223.0862,SQLInjection
192.168.8.68,10.0.5.73,54962,7847,ICMP,SYN,20,86403,54572,0.3665,4320.15,Backdoor
192.168.4.101,10.0.2.157,52933,80,UDP,ACK,9,20896,680,13.2353,2321.7778,Benign
192.168.2.223,10.0.4.164,51609,80,ICMP,SYN-ACK,39,19652,1950,20.0,503.8974,Benign
192.168.4.102,10.0.4.123,23499,443,TCP,RST,31,13260,1497,20.7081,427.7419,Benign
192.168.3.242,10.0.1.156,40474,80,TCP,SYN,20737,3885711,5505,3766.9391,187.3806,DoS
192.168.6.87,10.0.3.20,7068,6852,UDP,SYN,53,73115,45134,1.1743,1379.5283,Backdoor
192.168.7.241,10.0.5.11,55391,22,UDP,PSH-ACK,1793,98471,9787,183.2022,54.9197,BruteForce
192.168.8.240,10.0.3.110,29556,3389,ICMP,SYN,1620,35161,5817,278.4941,21.7043,BruteForce
192.168.3.110,10.0.0.241,3786,53,TCP,SYN,18,24179,3299,5.4562,1343.2778,Benign
192.168.7.227,10.0.4.23,54643,443,TCP,FIN,48,30360,695,69.0647,632.5,Benign
192.168.6.241,10.0.5.55,7574,443,TCP,SYN,27317,3084627,1852,14750.0,112.9197,DoS
192.168.7.131,10.0.4.47,29613,443,TCP,SYN,90,17901,267,337.0787,198.9,SQLInjection
192.168.9.165,10.0.1.160,14842,443,TCP,SYN,7643,1071640,4966,1539.0656,140.212,DoS
192.168.5.230,10.0.4.2,53047,443,ICMP,FIN,26,20058,2044,12.7202,771.4615,Benign
192.168.8.221,10.0.5.234,37087,22,ICMP,RST,1034,22090,8945,115.5953,21.3636,BruteForce
192.168.4.166,10.0.2.158,48462,22,TCP,SYN,1566,107140,16795,93.242,68.4163,BruteForce
192.168.1.156,10.0.0.130,25157,25,ICMP,RST,9,19462,2440,3.6885,2162.4444,Benign
192.168.10.47,10.0.0.183,30718,340,UDP,SYN,512,7893,2845,179.9649,15.416,PortScan
192.168.7.223,10.0.5.76,55437,53,ICMP,PSH-ACK,43,49391,3837,11.2067,1148.6279,Benign
192.168.2.228,10.0.4.76,10538,8080,TCP,SYN-ACK,59,10133,125,472.0,171.7458,SQLInjection
192.168.6.145,10.0.0.76,2418,53,ICMP,SYN-ACK,44,13243,1534,28.6832,300.9773,Benign
192.168.4.28,10.0.1.215,52164,443,TCP,SYN-ACK,32,26990,4719,6.7811,843.4375,Benign
192.168.9.246,10.0.0.105,41801,8080,TCP,SYN,70,7079,253,276.6798,101.1286,SQLInjection
192.168.2.118,10.0.3.249,59456,22,TCP,PSH-ACK,16,49604,1868,8.5653,3100.25,Benign
192.168.5.144,10.0.5.59,35102,8080,ICMP,ACK,47,43920,3063,15.3444,934.4681,Benign
192.168.4.231,10.0.4.36,44098,8080,ICMP,SYN,5,23089,3438,1.4543,4617.8,Benign
192.168.2.252,10.0.1.231,46580,22,ICMP,RST,26,2462,4599,5.6534,94.6923,Benign
192.168.3.104,10.0.4.196,24533,443,ICMP,PSH-ACK,32,43813,2279,14.0412,1369.1562,Benign
192.168.2.201,10.0.4.98,38570,443,TCP,SYN,46310,710725,4549,10180.2594,15.3471,DoS
192.168.1.144,10.0.3.208,28939,25,TCP,PSH-ACK,14,12970,4429,3.161,926.4286,Benign
192.168.6.147,10.0.2.252,61567,6017,TCP,SYN-ACK,88,57254,45485,1.9347,650.6136,Backdoor
192.168.3.62,10.0.4.204,51692,8080,UDP,RST,45,3158,341,131.9648,70.1778,Benign
192.168.3.123,10.0.1.1,1450,22,ICMP,RST,43,26103,3289,13.0739,607.0465,Benign
192.168.2.15,10.0.0.214,65226,80,TCP,RST,19,4661,392,48.4694,245.3158,SQLInjection
192.168.4.209,10.0.4.86,54996,22,TCP,SYN,968,148362,3834,252.4778,153.2665,BruteForce
192.168.10.166,10.0.2.21,20228,80,TCP,SYN,26062,555698,8424,3093.7797,21.3222,DoS
192.168.7.199,10.0.1.221,42281,3389,ICMP,ACK,1107,178315,15472,71.5486,161.0795,BruteForce
192.168.3.13,10.0.5.95,15475,8080,ICMP,SYN-ACK,6,32957,3709,1.6177,5492.8333,Benign
192.168.8.154,10.0.2.101,11661,22,TCP,PSH-ACK,13,48080,3403,3.8202,3698.4615,Benign
192.168.7.172,10.0.1.153,10015,3389,UDP,SYN,1835,34135,26440,69.4024,18.6022,BruteForce
192.168.8.186,10.0.5.212,32097,330,UDP,SYN,678,2094,1579,429.3857,3.0885,PortScan
192.168.1.102,10.0.4.173,35989,443,UDP,SYN,17,13781,3818,4.4526,810.6471,Benign
192.168.4.23,10.0.1.245,62063,351,UDP,SYN,307,6648,2143,143.2571,21.6547,PortScan
192.168.2.120,10.0.4.238,6211,443,UDP,SYN,15,44935,932,16.0944,2995.6667,Benign
192.168.2.155,10.0.1.1,25916,22,TCP,ACK,20,34139,2703,7.3992,1706.95,Benign
192.168.3.120,10.0.3.140,38604,80,UDP,FIN,17,14803,3765,4.5153,870.7647,Benign
192.168.2.229,10.0.5.140,20470,53,UDP,SYN-ACK,8,48078,1481,5.4018,6009.75,Benign
192.168.10.83,10.0.0.37,57655,3389,UDP,SYN-ACK,288,34776,16128,17.8571,120.75,BruteForce
192.168.5.73,10.0.0.61,30629,443,TCP,SYN,11659,3441682,8707,1339.0376,295.1953,DoS
192.168.9.28,10.0.1.232,31380,349,ICMP,SYN,291,2231,557,522.4417,7.6667,PortScan
192.168.3.164,10.0.0.225,33239,80,TCP,SYN,11706,1722234,5277,2218.3059,147.124,DoS
192.168.9.239,10.0.3.44,38544,25,ICMP,SYN-ACK,36,48421,3687,9.764,1345.0278,Benign
192.168.4.195,10.0.3.222,55178,443,TCP,RST,12,34270,1551,7.7369,2855.8333,Benign
192.168.9.175,10.0.2.105,2934,53,UDP,ACK,33,48917,287,114.9826,1482.3333,Benign
192.168.8.202,10.0.5.151,36714,22,ICMP,PSH-ACK,30,45113,1074,27.933,1503.7667,Benign
192.168.8.123,10.0.5.16,27412,22,UDP,ACK,38,10103,226,168.1416,265.8684,Benign
192.168.6.196,10.0.0.97,36454,3389,TCP,SYN,1921,54810,7912,242.7958,28.532,BruteForce
192.168.4.162,10.0.2.84,45187,22,TCP,SYN,48,43724,3098,15.4939,910.9167,Benign
192.168.1.199,10.0.2.139,30337,8080,TCP,PSH-ACK,30,37818,1331,22.5394,1260.6,Benign
192.168.2.134,10.0.5.198,62435,8080,TCP,SYN,27,12727,340,79.4118,471.3704,SQLInjection
192.168.7.249,10.0.3.194,39963,443,TCP,SYN,20415,3706774,9877,2066.9232,181.5711,DoS
192.168.5.201,10.0.4.223,2083,80,TCP,ACK,26,2722,1982,13.1181,104.6923,Benign
192.168.9.111,10.0.5.154,47996,443,TCP,SYN,47491,1190419,5884,8071.2101,25.0662,DoS
192.168.10.87,10.0.5.157,34591,80,ICMP,PSH-ACK,46,6005,2422,18.9926,130.5435,Benign
192.168.6.116,10.0.5.140,34285,25,UDP,SYN,46,29427,850,54.1176,639.7174,Benign
192.168.6.237,10.0.1.61,59691,22,ICMP,FIN,29,31800,1705,17.0088,1096.5517,Benign
192.168.9.197,10.0.5.48,2742,443,TCP,SYN,29933,754243,2040,14673.0392,25.1977,DoS
192.168.8.127,10.0.4.137,33298,443,UDP,RST,44,38156,3675,11.9728,867.1818,Benign
192.168.9.128,10.0.5.217,11110,53,TCP,SYN-ACK,41,13355,4146,9.889,325.7317,Benign
192.168.1.203,10.0.5.137,21881,2,ICMP,SYN,508,4051,1472,345.1087,7.9744,PortScan
192.168.6.14,10.0.5.69,58893,8080,TCP,PSH-ACK,29,25465,2818,10.291,878.1034,Benign
192.168.8.146,10.0.0.8,45130,6734,TCP,ACK,158,28056,58920,2.6816,177.5696,Backdoor
192.168.6.219,10.0.2.69,17487,22,TCP,RST,34,39401,3328,10.2163,1158.8529,Benign
192.168.4.36,10.0.2.212,54450,80,TCP,SYN,46831,2168838,3180,14726.7296,46.312,DoS
192.168.9.190,10.0.4.217,18669,80,TCP,SYN,40794,4903270,2689,15170.6954,120.1959,DoS
192.168.6.104,10.0.1.67,6241,7129,ICMP,PSH-ACK,67,74866,59905,1.1184,1117.403,Backdoor
192.168.6.185,10.0.3.46,60920,80,TCP,SYN,42712,1541642,7613,5610.4033,36.0939,DoS
192.168.10.57,10.0.5.57,23524,25,ICMP,RST,28,7199,1931,14.5003,257.1071,Benign
192.168.9.28,10.0.4.182,26662,80,UDP,SYN-ACK,46,32588,4351,10.5723,708.4348,Benign
192.168.5.245,10.0.3.244,56737,80,TCP,SYN,44969,2788057,8991,5001.5571,61.9995,DoS
192.168.5.212,10.0.2.58,1522,9589,TCP,SYN-ACK,179,20725,54264,3.2987,115.7821,Backdoor
192.168.9.212,10.0.4.20,61731,53,TCP,FIN,35,11301,484,72.314,322.8857,Benign
192.168.4.134,10.0.5.86,39164,80,TCP,SYN-ACK,10,24369,1821,5.4915,2436.9,Benign
192.168.7.79,10.0.0.84,20268,21,UDP,SYN,1894,95921,8628,219.5178,50.6447,BruteForce
192.168.2.56,10.0.5.45,25017,22,ICMP,ACK,35,48199,4396,7.9618,1377.1143,Benign
192.168.2.61,10.0.3.115,56831,33,UDP,SYN,735,5354,1113,660.3774,7.2844,PortScan
192.168.2.73,10.0.0.10,51901,443,TCP,SYN,30095,4539352,2999,10035.0117,150.8341,DoS
192.168.10.135,10.0.3.144,4965,22,ICMP,PSH-ACK,1751,135308,2220,788.7387,77.2747,BruteForce
192.168.5.93,10.0.1.61,56382,714,ICMP,SYN,511,3667,1060,482.0755,7.1761,PortScan
192.168.6.143,10.0.3.107,4849,53,UDP,RST,31,49933,3784,8.1924,1610.7419,Benign
192.168.9.114,10.0.2.77,57554,22,TCP,ACK,50,22643,4279,11.685,452.86,Benign
192.168.6.252,10.0.5.229,44888,443,TCP,SYN,43556,3639695,6959,6258.9453,83.5636,DoS
192.168.6.202,10.0.5.216,41240,3389,UDP,ACK,463,89833,22132,20.9199,194.0238,BruteForce
192.168.2.248,10.0.0.208,46452,80,UDP,SYN-ACK,13,910,422,30.8057,70.0,Benign
192.168.1.40,10.0.2.96,42912,3389,TCP,RST,1998,70840,4383,455.8522,35.4555,BruteForce
192.168.4.34,10.0.5.225,55144,8080,TCP,SYN-ACK,9,14154,145,62.069,1572.6667,Benign
192.168.6.88,10.0.3.9,35219,872,TCP,SYN,668,3984,911,733.2602,5.9641,PortScan
192.168.5.78,10.0.2.218,35090,443,TCP,SYN,30285,4215697,3360,9013.3929,139.2008,DoS
192.168.8.247,10.0.5.254,62408,21,TCP,FIN,1505,125622,25572,58.8534,83.4698,BruteForce
192.168.5.165,10.0.3.39,49972,8080,TCP,ACK,37,48914,1473,25.1188,1322.0,Benign
192.168.6.74,10.0.1.244,63852,22,TCP,RST,1849,55317,25185,73.4167,29.9173,BruteForce
192.168.9.207,10.0.0.189,9787,443,TCP,SYN,17,40252,1273,13.3543,2367.7647,Benign
192.168.1.161,10.0.2.160,7092,25,TCP,FIN,5,6388,4356,1.1478,1277.6,Benign
192.168.4.107,10.0.2.126,11519,53,TCP,PSH-ACK,34,23110,298,114.094,679.7059,Benign
192.168.9.43,10.0.3.104,35016,25,ICMP,SYN,34,12096,1580,21.519,355.7647,Benign
192.168.6.123,10.0.3.83,18085,53,ICMP,SYN-ACK,45,17908,4063,11.0756,397.9556,Benign
192.168.3.98,10.0.1.221,38459,80,TCP,SYN-ACK,89,4956,311,286.1736,55.6854,SQLInjection
192.168.8.98,10.0.5.142,16824,443,TCP,SYN,8479,4708483,3976,2132.5453,555.3111,DoS
192.168.8.246,10.0.0.166,31745,8189,TCP,SYN,195,33189,22997,8.4794,170.2,Backdoor
192.168.8.202,10.0.5.187,15263,80,TCP,SYN,6918,2833198,3978,1739.0649,409.54,DoS
192.168.3.40,10.0.4.245,38174,25,ICMP,ACK,31,11719,925,33.5135,378.0323,Benign
192.168.7.205,10.0.2.169,56983,621,ICMP,SYN,341,3357,1468,232.2888,9.8446,PortScan
192.168.3.84,10.0.5.94,47061,53,TCP,RST,18,21484,4654,3.8676,1193.5556,Benign
192.168.5.69,10.0.3.32,33077,22,ICMP,PSH-ACK,36,14843,1423,25.2987,412.3056,Benign
192.168.7.75,10.0.1.242,2305,21,ICMP,SYN-ACK,1972,76557,20927,94.2323,38.822,BruteForce
192.168.8.157,10.0.5.186,8657,3389,TCP,FIN,1889,162637,16378,115.3376,86.0969,BruteForce
192.168.1.48,10.0.4.45,29869,80,TCP,ACK,26,16653,4981,5.2198,640.5,Benign
192.168.8.195,10.0.4.234,33641,443,ICMP,SYN,36,46894,2777,12.9636,1302.6111,Benign
192.168.3.149,10.0.4.243,60988,443,ICMP,ACK,14,2340,907,15.4355,167.1429,Benign
192.168.3.204,10.0.2.102,48813,8080,TCP,SYN,34,7677,69,492.7536,225.7941,SQLInjection
192.168.1.68,10.0.4.126,40776,898,ICMP,SYN,457,4450,2024,225.7905,9.7374,PortScan
192.168.9.92,10.0.1.61,42798,80,TCP,FIN,15,8618,58,258.6207,574.5333,SQLInjection
192.168.5.251,10.0.2.61,61483,80,UDP,PSH-ACK,41,38107,2727,15.0348,929.439,Benign
192.168.2.118,10.0.0.89,55758,9117,TCP,ACK,43,7993,19778,2.1741,185.8837,Backdoor
192.168.10.43,10.0.5.242,39485,25,ICMP,SYN-ACK,6,6560,2580,2.3256,1093.3333,Benign
192.168.4.123,10.0.2.168,57899,443,ICMP,RST,8,40613,1708,4.6838,5076.625,Benign
192.168.1.148,10.0.3.254,31832,8080,TCP,ACK,85,18379,97,876.2887,216.2235,SQLInjection
192.168.10.248,10.0.0.38,27095,80,TCP,SYN,14947,1069384,4395,3400.9101,71.5451,DoS
192.168.3.31,10.0.5.237,46925,21,UDP,FIN,1741,183062,6575,264.7909,105.1476,BruteForce
